drtg,fta,pf,fg_pct,tov_pct,date,threep_pct,efg_pct,trb,bpm,drb,fga,tov,ts_pct,ft,player_name,ftr,ast,ortg,orb_pct,starter,ast_pct,threepa,pm,stl,sp,blk_pct,orb,drb_pct,threep,threepar,trb_pct,ft_pct,stl_pct,usg_pct,fg,team_abbr,pts,inactive,blk
121,7,1,.529,13.0,20110304,0,.529,8,2.6,4,17,3,.573,5,J.J. Hickson,.412,4,121,12.9,1,17.6,0,+15,2,2125.0,2.3,4,15.9,0,.000,14.3,.714,3.0,28.2,9,CLE,23,0,1
132,4,1,.267,15.2,20110304,0,.267,2,-15.2,1,15,3,.328,3,Ramon Sessions,.267,6,87,3.3,1,22.4,0,+2,0,2062.0,0.0,1,4.1,0,.000,3.7,.750,0.0,24.9,4,CLE,11,0,0
126,0,1,.625,0.0,20110304,.600,.813,4,10.5,3,8,0,.813,0,Anthony Parker,.000,7,189,3.5,1,29.3,5,+13,1,1936.0,0.0,1,13.1,3,.625,7.8,0,1.6,10.7,5,CLE,13,0,0
126,10,4,.556,6.9,20110304,0,.556,6,-4.6,2,9,1,.560,5,Samardo Samuels,1.111,1,124,14.9,1,4.4,0,-3,1,1847.0,0.0,4,9.2,0,.000,12.3,.500,1.7,20.3,5,CLE,15,0,0
128,2,4,1.000,34.7,20110304,0,1.000,2,-8.8,2,1,1,1.064,2,Alonzo Gee,2.000,0,130,0.0,1,0.0,0,0,0,1057.0,0.0,0,16.0,0,.000,7.2,1.000,0.0,7.1,1,CLE,4,0,0
125,2,2,.400,5.9,20110304,.571,.533,3,4.9,2,15,1,.567,2,Baron Davis,.133,5,134,4.3,0,28.3,7,+10,1,1584.0,0.0,1,10.7,4,.467,7.2,1.000,2.0,27.7,6,CLE,18,0,0
128,0,2,.714,12.5,20110304,1.000,.929,4,3.7,3,7,1,.929,0,Christian Eyenga,.000,0,155,4.7,0,0.0,3,-6,0,1469.0,0.0,1,17.3,3,.429,10.3,0,0.0,14.2,5,CLE,13,0,0
129,4,3,.545,7.3,20110304,.333,.636,4,5.4,2,11,1,.705,4,Luke Harangody,.364,2,149,10.4,0,14.6,6,-1,0,1317.0,0.0,2,12.9,2,.545,11.5,1.000,0.0,27.2,6,CLE,18,0,0
129,0,0,1.000,0.0,20110304,0,1.000,2,-0.2,1,1,0,1.000,0,Manny Harris,.000,0,207,12.9,0,0.0,0,-7,0,532.0,0.0,1,15.9,0,.000,14.2,0,0.0,4.9,1,CLE,2,0,0
106,0,3,.500,33.3,20110304,0,.500,2,-6.4,1,2,1,.500,0,Ryan Hollins,.000,0,82,14.6,0,0.0,0,-3,1,471.0,10.4,1,18.0,0,.000,16.1,0,6.7,16.6,1,CLE,2,0,1
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Semih Erden,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Joey Graham,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0
130,10,4,.625,22.7,20110304,.500,.656,5,-2.1,4,16,6,.711,8,Carmelo Anthony,.625,2,119,3.3,1,7.4,2,-11,1,2535.0,1.7,1,10.8,1,.125,7.5,.800,1.2,28.2,10,NYK,29,0,1
132,10,4,.500,12.1,20110304,.500,.516,9,-4.1,5,32,5,.563,8,Amar'e Stoudemire,.313,3,119,14.3,1,16.2,2,-7,0,2368.0,1.9,4,14.5,1,.063,14.4,.800,0.0,47.4,16,NYK,41,0,1
128,2,0,.750,10.1,20110304,.750,.938,6,6.3,6,8,1,.957,2,Landry Fields,.250,0,177,0.0,1,0.0,4,+14,1,2077.0,0.0,0,19.8,3,.500,10.9,1.000,1.5,12.9,6,NYK,17,0,0
131,0,4,.556,18.2,20110304,.250,.611,5,-4.6,5,9,2,.611,0,Toney Douglas,.000,5,125,0.0,1,22.1,4,-4,0,1891.0,0.0,0,18.1,1,.444,10.0,0,0.0,15.8,5,NYK,11,0,0
126,2,6,0,53.2,20110304,0,0,4,1.3,1,0,1,.568,1,Jared Jeffries,0,2,128,16.2,1,8.8,0,+7,2,1564.0,2.8,3,4.4,0,0,9.7,.500,4.0,3.3,0,NYK,1,0,1
129,0,3,.143,0.0,20110304,.000,.143,3,-8.0,1,7,0,.143,0,Shawne Williams,.000,1,71,11.7,0,5.0,3,-13,0,1448.0,12.2,2,4.7,0,.429,7.9,0,0.0,13.1,1,NYK,2,0,4
134,0,4,1.000,25.0,20110304,1.000,1.333,1,1.2,1,3,1,1.333,0,Anthony Carter,.000,0,181,0.0,0,0.0,2,0,0,1324.0,3.3,0,5.2,2,.667,2.9,0,0.0,8.2,3,NYK,8,0,1
131,6,3,1.000,0.0,20110304,0,1.000,4,3.6,1,1,0,.824,4,Shelden Williams,6.000,0,184,34.2,0,0.0,0,-1,0,742.0,6.0,3,9.2,0,.000,20.4,.667,0.0,13.3,1,NYK,6,0,1
127,0,0,.000,0.0,20110304,.000,.000,2,-11.1,2,1,0,.000,0,Henry Walker,.000,0,0,0.0,0,0.0,1,-5,0,452.0,0.0,0,30.3,0,1.000,16.8,0,0.0,6.0,0,NYK,0,0,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Renaldo Balkman,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Derrick Brown,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Roger Mason,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Daniel Gibson,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Antawn Jamison,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Anderson Varejão,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Chauncey Billups,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,1,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Andy Rautins,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,1,0
0,0,0,0,0,20110304,0,0,0,0,0,0,0,0,0,Ronny Turiaf,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,0,1,0
