team_abbr,drb_pct,fta,blk_pct,threepar,tov,player_name,ts_pct,fg,threep_pct,drtg,ast_pct,usg_pct,threepa,fg_pct,ftr,orb,fga,starter,inactive,date,ast,drb,orb_pct,threep,stl,ortg,pf,ft_pct,pts,pm,trb_pct,blk,tov_pct,efg_pct,sp,trb,bpm,ft,stl_pct
BOS,20.9,3,0.0,.240,3,Kyrie Irving,.494,11,.333,106,25.5,36.3,6,.440,.120,2,25,1,0,20181215,4,6,5.8,2,3,99,3,.667,26,0,12.7,0,10.2,.480,1972.0,8,5.8,2,4.3
BOS,22.9,6,3.2,.200,1,Jayson Tatum,.482,6,.000,109,10.9,25.3,3,.400,.400,2,15,1,0,20181215,2,6,6.4,0,1,106,2,.833,17,-6,13.9,1,5.4,.400,1798.0,8,1.0,5,1.6
BOS,19.2,6,0.0,.636,2,Marcus Smart,.770,6,.714,105,16.5,21.3,7,.545,.545,3,11,1,0,20181215,3,5,9.7,5,3,141,5,.667,21,-4,14.0,0,12.8,.773,1787.0,8,14.3,4,4.7
BOS,12.5,4,3.5,.600,0,Marcus Morris,.383,3,.000,110,15.6,17.4,6,.300,.400,0,10,1,0,20181215,3,3,0.0,0,1,95,6,.750,9,-5,5.7,1,0.0,.300,1645.0,3,-4.2,3,1.7
BOS,12.4,2,0.0,.000,1,Aron Baynes,.727,4,0,117,0.0,17.4,0,.667,.333,2,6,1,0,20181215,0,2,10.5,0,0,133,1,1.000,10,-10,11.4,0,12.7,.667,1102.0,4,-0.2,2,0.0
BOS,4.1,0,0.0,.364,1,Gordon Hayward,.273,3,.000,115,10.1,17.4,4,.273,.000,1,11,0,0,20181215,2,1,3.4,0,1,67,0,0,6,+2,3.7,0,8.3,.273,1684.0,2,-9.2,0,1.7
BOS,15.0,2,0.0,.500,2,Terry Rozier,.218,1,.000,116,11.4,15.8,3,.167,.333,1,6,0,0,20181215,2,3,4.2,0,0,54,1,.500,3,-13,9.1,0,22.5,.167,1370.0,4,-13.2,1,0.0
BOS,10.2,0,4.3,.250,3,Jaylen Brown,.250,1,.000,105,11.6,12.6,1,.250,.000,0,4,0,0,20181215,2,2,0.0,0,2,42,3,0,2,-9,4.6,1,42.9,.250,1351.0,2,-7.9,0,4.2
BOS,18.9,0,0.0,.600,1,Daniel Theis,.800,3,.667,115,8.5,13.4,3,.600,.000,1,5,0,0,20181215,1,3,5.3,2,0,134,4,0,8,-1,11.5,0,16.7,.800,1090.0,4,0.3,0,0.0
BOS,11.4,0,9.6,.000,0,Robert Williams,1.000,1,0,112,0.0,4.1,0,1.000,.000,0,1,0,0,20181215,0,1,0.0,0,0,200,0,0,2,+1,5.2,1,0.0,1.000,601.0,1,1.1,0,0.0
BOS,0,0,0,0,0,Brad Wanamaker,0,0,0,0,0,0,0,0,0,0,0,0,0,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BOS,0,0,0,0,0,Semi Ojeleye,0,0,0,0,0,0,0,0,0,0,0,0,0,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,16.1,13,0.0,.125,5,Blake Griffin,.622,8,.500,105,28.4,31.6,2,.500,.813,2,16,1,0,20181215,6,6,6.4,1,1,114,2,.769,27,-4,11.7,0,18.7,.531,2149.0,8,3.7,10,1.3
DET,46.6,9,11.9,.000,1,Andre Drummond,.529,6,0,80,4.8,24.3,0,.429,.643,4,14,1,0,20181215,1,16,13.9,0,3,117,3,.778,19,+12,31.7,5,5.3,.429,1978.0,20,8.2,7,4.3
DET,9.6,2,0.0,.909,3,Reggie Bullock,.631,5,.400,110,5.2,21.0,10,.455,.182,0,11,1,0,20181215,1,3,0.0,4,0,96,1,.500,15,-4,5.2,0,20.2,.636,1802.0,3,-3.2,1,0.0
DET,4.0,7,3.3,.200,3,Reggie Jackson,.743,3,.000,109,24.3,19.6,1,.600,1.400,1,5,1,0,20181215,4,1,4.8,0,0,123,1,.857,12,0,4.4,1,27.1,.600,1439.0,2,1.5,6,0.0
DET,13.1,0,0.0,.500,0,Luke Kennard,1.250,4,1.000,108,21.6,7.7,2,1.000,.000,0,4,1,0,20181215,3,3,0.0,2,0,243,4,0,10,+10,7.1,0,0.0,1.250,1321.0,3,8.8,0,0.0
DET,3.4,2,0.0,.692,1,Langston Galloway,.504,6,.222,108,5.8,22.0,9,.462,.154,1,13,0,0,20181215,1,1,4.0,2,1,97,2,.000,14,+6,3.6,0,6.7,.538,1716.0,2,-3.3,0,1.6
DET,8.0,2,0.0,.333,2,José Calderón,.644,2,.000,97,45.7,10.4,1,.667,.667,0,3,0,0,20181215,8,2,0.0,0,3,123,6,.500,5,+9,4.3,0,34.0,.667,1441.0,2,4.9,1,5.9
DET,12.0,0,4.9,.400,1,Bruce Brown,.300,1,.500,105,0.0,15.9,2,.200,.000,0,5,0,0,20181215,0,2,0.0,1,0,52,2,0,3,+8,6.5,1,16.7,.300,960.0,2,-10.6,0,0.0
DET,19.9,0,0.0,.000,2,Jon Leuer,.500,2,0,99,0.0,17.5,0,.500,.000,1,4,0,0,20181215,0,3,7.9,0,1,71,0,0,4,-5,14.4,0,33.3,.500,869.0,4,-6.2,0,3.2
DET,7.9,0,0.0,.600,0,Stanley Johnson,.400,2,.000,102,12.8,17.5,3,.400,.000,1,5,0,0,20181215,1,1,9.5,0,1,102,0,0,4,+13,8.6,0,0.0,.400,725.0,2,0.6,0,3.9
DET,0,0,0,0,0,Khyri Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BOS,0,0,0,0,0,Jabari Bird,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BOS,0,0,0,0,0,PJ Dozier,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BOS,0,0,0,0,0,Al Horford,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
BOS,0,0,0,0,0,Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Henry Ellenson,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Keenan Evans,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Zach Lofton,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Zaza Pachulia,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Glenn Robinson III,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
DET,0,0,0,0,0,Ish Smith,0,0,0,0,0,0,0,0,0,0,0,0,1,20181215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
