ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,pm
.118,17,11,1,2,2,.235,46.7,.280,4,.000,20210519,78,13,10,3,1.8,SAS,10,14.4,1.000,22.3,2,2332.0,2.5,.235,3,14.5,0,.176,6.2,1,1,Dejounte Murray,98,0,3,24.2,+1
.524,21,3,1,10,0,.238,13.7,.387,5,0,20210519,86,3,20,1,0.0,SAS,2,7.2,.909,30.5,11,2274.0,0.0,.238,2,3.4,0,.000,2.1,0,4,DeMar DeRozan,109,0,0,5.0,-11
.667,6,2,1,2,0,.667,10.7,.644,4,0,20210519,115,10,10,4,11.0,SAS,6,20.5,.500,12.6,4,1923.0,0.0,.667,2,13.5,0,.000,10.0,5,5,Jakob Poeltl,96,0,0,17.6,-10
.000,11,1,1,0,0,.455,6.0,.500,5,.500,20210519,111,11,11,2,0.0,SAS,9,0.0,0,14.9,0,1843.0,0.0,.500,0,15.5,1,.182,5.2,0,1,Keldon Johnson,104,0,2,27.6,-9
.500,8,1,1,4,1,.250,9.8,.410,2,.000,20210519,104,5,8,2,4.1,SAS,3,0.0,1.000,23.5,4,1035.0,2.9,.250,0,12.5,0,.375,9.3,1,3,Lonnie Walker IV,96,0,3,16.4,-23
.000,7,0,0,0,1,.429,0.0,.643,3,.500,20210519,127,1,9,0,0.0,SAS,1,0.0,0,9.6,0,1825.0,1.6,.643,0,1.4,3,.857,0.0,0,0,Patty Mills,107,0,6,3.1,+18
.095,21,1,0,1,0,.381,8.9,.457,8,.429,20210519,93,7,20,2,0.0,SAS,5,4.4,.500,35.0,2,1627.0,0.0,.452,1,11.2,3,.333,5.9,0,2,Rudy Gay,106,0,7,17.4,+6
.333,3,1,0,1,0,.667,13.9,.872,2,1.000,20210519,182,4,6,1,0.0,SAS,3,0.0,1.000,11.0,1,777.0,0.0,.833,0,13.4,1,.333,6.2,0,4,Gorgui Dieng,103,0,1,21.8,+10
.000,3,0,0,0,1,.333,0.0,.333,1,0,20210519,71,1,2,0,0.0,SAS,1,0.0,0,12.6,0,592.0,5.0,.333,0,4.4,0,.000,0.0,0,2,Devin Vassell,97,0,0,9.5,+2
0,0,0,0,0,0,0,0.0,0,0,0,20210519,0,0,0,0,0.0,SAS,0,0,0,0.0,0,172.0,0.0,0,0,0.0,0,0,0.0,0,0,Drew Eubanks,112,0,0,0.0,-4
.300,20,6,1,2,1,.400,23.1,.442,8,.400,20210519,87,6,20,1,0.0,MEM,5,15.0,.333,28.7,6,2444.0,1.2,.450,4,6.4,2,.250,2.3,0,0,Ja Morant,103,0,5,9.8,+20
.190,21,3,1,4,2,.476,13.0,.527,10,.000,20210519,117,7,24,1,1.6,MEM,6,0.0,1.000,25.1,4,2382.0,2.5,.476,0,7.6,0,.143,2.4,1,5,Dillon Brooks,97,0,3,12.1,+14
.375,16,1,1,3,0,.625,4.7,.617,10,.000,20210519,135,23,23,5,5.1,MEM,18,0.0,.500,21.7,6,2253.0,0.0,.625,0,26.5,0,.063,12.5,3,2,Jonas Valančiūnas,87,0,1,38.3,+26
.100,10,2,1,1,0,.300,8.4,.431,3,1.000,20210519,77,6,9,1,8.0,MEM,5,22.3,1.000,18.3,1,1930.0,0.0,.400,3,8.1,2,.200,2.9,4,2,Kyle Anderson,98,0,2,12.4,+7
.500,6,4,1,2,1,.500,17.7,.683,3,.500,20210519,154,4,10,1,2.1,MEM,3,0.0,.667,10.4,3,1847.0,1.6,.667,0,5.6,2,.667,3.1,1,3,Jaren Jackson Jr.,101,0,4,7.8,+17
.333,6,0,0,1,0,.500,0.0,.509,3,.000,20210519,116,6,7,2,0.0,MEM,4,0.0,.500,12.1,2,1490.0,0.0,.500,0,10.4,0,.333,7.6,0,1,Desmond Bane,104,0,2,12.9,+4
.000,5,1,0,0,0,.200,11.4,.200,1,.000,20210519,44,3,2,0,5.5,MEM,3,16.7,0,22.4,0,704.0,0.0,.200,1,11.1,0,.400,0.0,1,3,De'Anthony Melton,95,0,2,20.5,-13
2.000,1,0,0,0,0,.000,0.0,.000,0,0,20210519,0,1,0,0,6.2,MEM,1,0.0,.000,8.0,2,619.0,0.0,.000,0,4.2,0,.000,0.0,1,1,Xavier Tillman Sr.,102,0,0,7.8,-22
.000,3,1,0,0,0,.667,24.7,.833,2,.500,20210519,170,0,5,0,0.0,MEM,0,0.0,0,18.1,0,436.0,0.0,.833,0,0.0,1,.667,0.0,0,2,Tyus Jones,110,0,2,0.0,-16
.000,2,0,0,0,0,.000,0.0,.000,0,.000,20210519,0,0,0,0,0.0,MEM,0,33.3,0,26.7,0,295.0,0.0,.000,1,0.0,0,.500,0.0,0,0,Grayson Allen,111,0,1,0.0,-17
