trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
7.5,5.5,17.1,.400,1,5,+5,.467,14,5,DEN,.453,2,15,11.5,113,2,0,0,98,1,.067,0.0,Andre Iguodala,9.7,.286,0.4,.467,7,20130426,6,.000,1,3,2,17.1,2,2.3,0,2539.0
5.0,3.1,34.4,.500,2,10,-2,.523,35,3,DEN,.641,1,22,12.8,113,4,12,0,128,1,.545,0.0,Ty Lawson,7.3,.333,12.5,.136,3,20130426,11,1.000,12,2,1,49.0,2,2.6,0,2261.0
15.5,3.2,12.3,.500,5,2,-6,.625,11,9,DEN,.619,1,8,18.4,106,2,1,0,106,1,.250,2.2,Wilson Chandler,30.0,.667,2.2,.375,3,20130426,4,.500,2,8,2,7.6,2,2.7,1,2194.0
14.5,3.8,14.0,.857,4,0,+2,.857,15,7,DEN,.901,1,7,19.4,106,2,3,0,139,1,.429,0.0,Kenneth Faried,27.0,0,4.5,.000,0,20130426,6,1.000,3,6,0,0.0,2,3.2,0,1829.0
0.0,0.0,9.5,.500,2,2,-8,.500,2,0,DEN,.500,0,2,33.3,120,1,0,0,88,1,.000,0.0,Evan Fournier,0.0,.000,-7.6,.500,1,20130426,1,0,0,0,0,20.1,0,0.0,0,788.0
9.3,8.6,26.4,.154,1,4,-9,.192,7,4,DEN,.244,2,13,17.3,118,3,2,0,64,0,.231,0.0,Andre Miller,10.1,1.000,-13.8,.077,1,20130426,2,.667,3,2,1,19.3,0,0.0,0,1633.0
7.8,9.7,27.9,.500,5,2,+11,.542,16,3,DEN,.601,2,12,18.4,114,3,3,0,106,0,.250,0.0,Corey Brewer,5.7,.333,-0.4,.250,3,20130426,6,1.000,3,1,1,14.1,1,2.0,0,1453.0
4.6,8.5,17.6,.400,3,0,-1,.400,4,1,DEN,.340,1,5,0.0,112,0,0,0,79,0,.400,0.0,JaVale McGee,0.0,0,-9.4,.000,0,20130426,2,.000,2,0,0,0.0,1,3.5,0,829.0
5.8,10.8,0.0,0,0,1,0,0,0,1,DEN,0,1,0,0,111,0,0,0,216,0,0,0.0,Kosta Koufos,0.0,0,5.3,0,0,20130426,0,0,0,0,0,11.1,1,4.5,0,650.0
16.8,0.0,38.0,1.000,2,0,-2,1.000,4,1,DEN,.820,0,2,29.1,110,1,0,0,81,0,.500,0.0,Anthony Randolph,36.6,0,-5.8,.000,0,20130426,2,.000,1,1,0,0.0,0,0.0,0,225.0
0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Hamilton,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,Timofey Mozgov,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,Julyan Stone,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
10.4,3.2,18.0,.467,1,2,+2,.567,19,7,GSW,.567,1,15,5.6,112,1,2,0,121,1,.267,1.7,Harrison Barnes,16.5,.600,1.0,.333,5,20130426,7,.500,4,6,3,6.6,0,0.0,1,2555.0
7.5,6.5,23.4,.714,0,7,-1,.714,23,5,GSW,.730,2,14,30.8,112,7,3,0,111,1,.286,1.7,Jarrett Jack,8.4,.000,2.2,.071,1,20130426,10,.750,4,3,0,26.2,1,1.2,1,2516.0
10.0,0.0,27.4,.471,4,11,+13,.588,29,6,GSW,.692,0,17,12.5,107,3,9,0,144,1,.529,0.0,Stephen Curry,18.6,.571,11.7,.412,7,20130426,8,1.000,9,6,4,43.8,2,2.6,0,2270.0
5.3,0.0,16.9,.300,4,1,+7,.300,6,3,GSW,.300,0,10,28.6,112,4,0,0,50,1,.000,0.0,Klay Thompson,9.8,.000,-14.4,.500,5,20130426,3,0,0,3,0,3.5,1,1.4,0,2147.0
19.5,18.8,5.1,1.000,2,2,+5,1.000,6,9,GSW,.872,4,3,0.0,110,0,0,0,187,1,.333,2.4,Andrew Bogut,20.1,0,5.3,.000,0,20130426,3,.000,1,5,0,8.9,0,0.0,1,1750.0
11.9,20.7,36.4,.471,2,2,-4,.471,19,5,GSW,.519,4,17,17.9,108,4,3,0,101,0,.176,0.0,Carl Landry,4.4,0,-3.6,.000,0,20130426,8,1.000,3,1,0,13.2,2,3.7,0,1591.0
21.1,0.0,8.7,.667,6,1,+3,.833,5,5,GSW,.833,0,3,0.0,96,0,0,0,176,0,.000,4.7,Draymond Green,39.2,.500,7.6,.667,2,20130426,2,0,0,5,1,9.0,1,3.2,1,897.0
16.4,17.8,21.7,1.000,0,0,-5,1.000,3,2,GSW,.798,1,1,51.5,94,2,1,0,75,0,2.000,27.4,Festus Ezeli,15.2,0,5.2,.000,0,20130426,1,.500,2,1,0,0.0,0,0.0,3,463.0
0.0,0.0,0.0,0,1,0,-5,0,0,0,GSW,0,0,0,0,116,0,0,0,0,0,0,0.0,Richard Jefferson,0.0,0,-11.5,0,0,20130426,0,0,0,0,0,0.0,0,0.0,0,152.0
0.0,0.0,0.0,0,0,0,-5,0,0,0,GSW,0,0,0,0,117,0,0,0,0,0,0,0.0,Kent Bazemore,0.0,0,-5.2,0,0,20130426,0,0,0,0,0,0.0,0,0.0,0,59.0
0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,Andris Biedriņš,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Jones,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,David Lee,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,1,0,0,0,0,Danilo Gallinari,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,1,0,0,0,0,Quincy Miller,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,1,0,0,0,0,Scott Machado,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,1,0,0,0,0,Brandon Rush,0,0,0,0,0,20130426,0,0,0,0,0,0,0,0,0,0.0
